timestamp_ms,action,buy_venue,sell_venue,buy_price,sell_price,qty,fee,pnl_net,obi_delta,p_execute,expected_edge_at_signal,adverse_selection_cost,fill_time_mid_a,fill_time_mid_b,signal_time_mid_a,signal_time_mid_b,status,reason,buy_latency_ms,sell_latency_ms,buy_slippage,sell_slippage,regime_vol,regime_spread,split
1709326262083,BUY_A_SELL_B,binance,kraken,62480.50000000001,62551.4,0.01,0.6251595000000001,0.0838404999999417,-0.7047278771858418,0.8485084960383921,0.7090000000000146,7.283063041541027e-14,62480.494999999995,62551.45,62480.494999999995,62551.45,filled,,28.938056982347284,53.71244701575843,7.275957614183426e-12,0.0,low,tight,train
1709326262084,BUY_A_SELL_B,binance,kraken,62480.50000000001,62551.4,0.01,0.6251595000000001,0.0838404999999417,-0.8835747404995531,0.8485084960383921,0.7090000000000146,7.283063041541027e-14,62480.494999999995,62551.45,62480.494999999995,62551.45,filled,,46.9153564089054,27.87168541440061,7.275957614183426e-12,0.0,low,tight,train
1709326262094,BUY_A_SELL_B,binance,kraken,62480.50000000001,62551.4,0.01,0.6251595000000001,0.0838404999999417,-0.9247178039361061,0.8485084960383921,0.7090000000000146,7.283063041541027e-14,62480.494999999995,62551.45,62480.494999999995,62551.45,filled,,50.34439095996716,57.17219283605569,7.275957614183426e-12,0.0,low,tight,train
1709326262105,BUY_A_SELL_B,binance,kraken,62480.50000000001,62551.4,0.01,0.6251595000000001,0.0838404999999417,-0.8835747404995531,0.8485084960383921,0.7090000000000146,7.283063041541027e-14,62480.494999999995,62551.45,62480.494999999995,62551.45,filled,,52.72187724718031,63.19878156785661,7.275957614183426e-12,0.0,low,tight,train
1709326262153,BUY_A_SELL_B,binance,kraken,62480.50000000001,62551.4,0.01,0.6251595000000001,0.0838404999999417,-0.7155502349181662,0.8485084960383921,0.7090000000000146,7.283063041541027e-14,62480.494999999995,62551.45,62480.494999999995,62551.45,filled,,27.1936828968196,45.41935995843998,7.275957614183426e-12,0.0,low,tight,train
1709326262191,BUY_A_SELL_B,binance,kraken,62480.50000000001,62551.4,0.01,0.6251595000000001,0.0838404999999417,-0.9536667897692187,0.8485084960383921,0.7090000000000146,7.283063041541027e-14,62480.494999999995,62551.45,62480.494999999995,62551.45,filled,,29.169022113256045,27.23911926709476,7.275957614183426e-12,0.0,low,tight,train
1709326262196,BUY_A_SELL_B,binance,kraken,62480.50000000001,62551.4,0.01,0.6251595000000001,0.0838404999999417,-0.968221855250835,0.8485084960383921,0.7090000000000146,7.283063041541027e-14,62480.494999999995,62551.45,62480.494999999995,62551.45,filled,,69.75516717049976,42.4483536806676,7.275957614183426e-12,0.0,low,tight,train
1709326262197,BUY_A_SELL_B,binance,kraken,62480.50000000001,62551.4,0.01,0.6251595000000001,0.0838404999999417,-0.7362886505690449,0.8485084960383921,0.7090000000000146,7.283063041541027e-14,62480.494999999995,62551.45,62480.494999999995,62551.45,filled,,52.967751732572076,30.589738087854954,7.275957614183426e-12,0.0,low,tight,train
1709326262204,BUY_A_SELL_B,binance,kraken,62480.50000000001,62551.4,0.01,0.6251595000000001,0.0838404999999417,-0.7362899649885286,0.8485084960383921,0.7090000000000146,7.283063041541027e-14,62480.494999999995,62551.45,62480.494999999995,62551.45,filled,,22.412771240787663,46.26888395198347,7.275957614183426e-12,0.0,low,tight,train
1709326262207,BUY_A_SELL_B,binance,kraken,62480.50000000001,62551.4,0.01,0.6251595000000001,0.0838404999999417,-0.7362884079298115,0.8485084960383921,0.7090000000000146,7.283063041541027e-14,62480.494999999995,62551.45,62480.494999999995,62551.45,filled,,34.04831859752461,45.70571683283333,7.275957614183426e-12,0.0,low,tight,train
